ALICE'S ADVENTURES IN WONDERLAND,Lewis Carroll,Adventure,1951,etext/Alice-in-Wonderland.txt
Gettysburg Address,Abraham Lincoln,Nonfiction,1983,etext/Gettysburg-Address.txt
Leaves of Grass,Walt Whitman,Poetry,1855,etext/Leaves-of-Grass.txt
A Tale of Two Cities,Charles Dickens,Historical,1859,etext/A-Tale-of-Two-Cities.txt
Adventures of Huckleberry Finn,Mark Twain,Adventure,1884,etext/Adventures-of-Huckleberry-Finn.txt
Adventures of Sherlock Holmes,Sir Arthur Conan Doyle,Mystery,1905,etext/Adventures-of-Sherlock-Holmes.txt
Adventures of Tom Sawyer,Mark Twain,Adventure,1876,etext/Adventures-of-Tom-Sawyer.txt
Dracula,Bram Stoker,Horror,1897,etext/Dracula.txt
Frakenstein,Mary Shelley,Horror,1817,etext/Frankenstein.txt
Grimm's Fairy Tales,The Brothers Grimm,Fiction,1812,etext/Grimms-Fairy-Tales.txt
Heart of Darkness,Joseph Conrad,Historical,1902,etext/Heart-of-Darkness.txt
Moby Dick,Herman Melville,Fiction,1851,etext/Moby-Dick.txt
Pride and Prejudice,Jane Austen,Historical,1813,etext/Pride-and-Prejudice.txt
The Iliad of Homer,Homer,Fiction,750BCE,etext/The-Iliad-of-Homer.txt
The Importance of Being Earnest,Sir Oscar Wilde,Historical,1895,etext/The-Importance-of-Being-Earnest.txt
Ulysses,James Joyce,Fiction,1922,etext/Ulysses.txt
Emma,Jane Austen,Nonfiction,1815,etext/Emma.txt
War and Peace,Leo Tolstoy,Adventure,1867,etext/War-and-Peace.txt
Great Expectations,Charles Dickens,Historical,1860,etext/Great-Expectations.txt
